position_qb,Att,Comp,Pass Yards,Pass TDs,Int,Rush,Rush Yards,Rush TDs,Total Yards,Total TDs
Drew Brees,673,471,5208,37,15,23,20,2,5228,39
Ryan Fitzpatrick,403,228,2710,12,17,33,130,0,2840,12
Marcus Mariota,451,276,3426,26,9,60,349,2,3775,28
Matt Schaub,3,1,16,0,0,2,-2,0,14,0
Drew Stanton,48,19,192,2,3,3,-3,0,189,2
Eli Manning,598,377,4027,26,16,21,-9,0,4018,26
Cam Newton,510,270,3509,19,14,90,359,5,3868,24
Tom Brady,432,291,3554,28,2,28,64,0,3618,28
Colin Kaepernick,331,196,2241,16,4,69,468,2,2709,18
Derek Carr,560,357,3937,28,6,39,70,0,4007,28
Andy Dalton,563,364,4206,18,8,46,184,4,4390,22
Geno Smith,14,8,126,1,1,2,9,0,135,1
Jay Cutler,137,81,1059,4,5,5,24,0,1083,4
Carson Palmer,597,364,4233,26,14,14,38,0,4271,26
Ben Roethlisberger,509,328,3819,29,13,16,14,1,3833,30
Brock Osweiler,510,301,2957,15,16,30,131,2,3088,17
Scott Tolzien,37,23,216,1,2,6,3,0,219,1
Chad Henne,0,0,0,0,0,1,-2,0,-2,0
Ryan Tannehill,389,261,2995,19,12,39,164,1,3159,20
Alex Smith,489,328,3502,15,8,48,134,5,3636,20
Aaron Rodgers,610,401,4428,40,7,67,369,4,4797,44
Andrew Luck,545,346,4240,31,13,64,341,2,4581,33
Trevor Siemian,486,289,3401,18,10,28,57,0,3458,18
Kirk Cousins,606,406,4917,25,12,34,96,4,5013,29
Jameis Winston,567,345,4090,28,18,53,165,1,4255,29
Matt Moore,87,55,721,8,3,1,-1,0,720,8
A.J. McCarron,0,0,0,0,0,0,0,0,0,0
Mark Sanchez,18,10,93,0,2,4,-2,0,91,0
Joe Flacco,672,436,4317,20,15,21,58,2,4375,22
Philip Rivers,578,349,4386,33,21,14,35,0,4421,33
Tom Savage,73,46,461,0,0,6,12,0,473,0
Russell Wilson,546,353,4219,21,11,72,259,1,4478,22
Mike Glennon,11,10,75,1,0,0,0,0,75,1
Matthew Stafford,594,388,4327,24,10,37,207,2,4534,26
Jared Goff,322,196,2201,9,11,20,51,1,2252,10
Jimmy Garoppolo,63,43,502,4,0,10,6,0,508,4
Tyrod Taylor,436,269,3023,17,6,95,580,6,3603,23
Chase Daniel,1,1,16,0,0,0,0,0,16,0
Landry Jones,86,53,558,4,2,6,-4,0,554,4
Matt Ryan,534,373,4944,38,7,35,117,0,5061,38
Blake Bortles,625,368,3905,23,16,58,359,3,4264,26
Derek Anderson,53,36,453,2,5,1,4,0,457,2
Sam Bradford,552,395,3877,20,5,20,53,0,3930,20
